Size;Algorithm;Time
32;KR1992M3GR;0.00049406
32;KR1992M3GR;0.000333815
32;KR1992M3GR;0.000316158
64;KR1992M3GR;0.00219179
64;KR1992M3GR;0.00140889
64;KR1992M3GR;0.00157346
128;KR1992M3GR;0.00892639
128;KR1992M3GR;0.00697614
128;KR1992M3GR;0.00685754
256;KR1992M3GR;0.0457497
256;KR1992M3GR;0.03673
256;KR1992M3GR;0.0381992
512;KR1992M3GR;0.23013
512;KR1992M3GR;0.199813
512;KR1992M3GR;0.19608
1024;KR1992M3GR;1.06112
1024;KR1992M3GR;1.02626
1024;KR1992M3GR;0.932428
2048;KR1992M3GR;4.85139
2048;KR1992M3GR;4.69639
2048;KR1992M3GR;4.32426
4096;KR1992M3GR;22.9875
4096;KR1992M3GR;21.8778
4096;KR1992M3GR;20.9303
