Size;Algorithm;Time
18;GR;0.000658967
18;GR;0.000538034
18;GR;0.000537035
34;GR;0.00158145
34;GR;0.00150849
34;GR;0.00151915
66;GR;0.00368462
66;GR;0.00362498
66;GR;0.00363265
130;GR;0.012615
130;GR;0.0124001
130;GR;0.0123951
258;GR;0.0346957
258;GR;0.0344535
258;GR;0.0344145
514;GR;0.113295
514;GR;0.113726
514;GR;0.113137
1026;GR;0.333133
1026;GR;0.331635
1026;GR;0.332208
2050;GR;1.09488
2050;GR;1.0899
2050;GR;1.09279
4098;GR;3.17081
4098;GR;3.17251
4098;GR;3.16744
8194;GR;10.3495
8194;GR;10.3522
8194;GR;10.3649
16386;GR;30.2322
16386;GR;30.2119
16386;GR;30.2246
32770;GR;97.3814
32770;GR;97.3067
32770;GR;97.3784
65538;GR;326.921
