Size;Algorithm;Time
18;GTLib;0.000431429
18;GTLib;0.000332151
18;GTLib;0.000330152
34;GTLib;0.000684623
34;GTLib;0.000686622
34;GTLib;0.000683957
66;GTLib;0.0015718
66;GTLib;0.00158146
66;GTLib;0.0015798
130;GTLib;0.00416138
130;GTLib;0.00417804
130;GTLib;0.00413872
258;GTLib;0.0125701
258;GTLib;0.0125428
258;GTLib;0.0124425
514;GTLib;0.0419359
514;GTLib;0.0419246
514;GTLib;0.0418836
1026;GTLib;0.152674
1026;GTLib;0.152087
1026;GTLib;0.152895
2050;GTLib;0.581025
2050;GTLib;0.578841
2050;GTLib;0.579571
4098;GTLib;2.26044
4098;GTLib;2.27289
4098;GTLib;2.25815
8194;GTLib;8.99291
8194;GTLib;8.92605
8194;GTLib;8.99523
16386;GTLib;35.5397
16386;GTLib;35.6351
16386;GTLib;35.4755
32770;GTLib;142.543
32770;GTLib;142.332
32770;GTLib;143.441
