Size;Algorithm;Time
18;GTN3GR;3.73126e-005
18;GTN3GR;1.29928e-005
18;GTN3GR;1.29928e-005
34;GTN3GR;2.73181e-005
34;GTN3GR;2.53192e-005
34;GTN3GR;2.63187e-005
66;GTN3GR;6.66296e-005
66;GTN3GR;6.22987e-005
66;GTN3GR;6.46307e-005
130;GTN3GR;0.000206219
130;GTN3GR;0.000195558
130;GTN3GR;0.000198889
258;GTN3GR;0.000783897
258;GTN3GR;0.000784897
258;GTN3GR;0.000769239
514;GTN3GR;0.00295636
514;GTN3GR;0.00295469
514;GTN3GR;0.00295469
1026;GTN3GR;0.0115999
1026;GTN3GR;0.0117661
1026;GTN3GR;0.0116985
2050;GTN3GR;0.0483534
2050;GTN3GR;0.0485327
2050;GTN3GR;0.0483118
4098;GTN3GR;0.193826
4098;GTN3GR;0.192411
4098;GTN3GR;0.194581
8194;GTN3GR;0.771383
8194;GTN3GR;0.781161
8194;GTN3GR;0.772241
16386;GTN3GR;3.14034
16386;GTN3GR;3.13871
16386;GTN3GR;3.18065
32770;GTN3GR;12.8882
32770;GTN3GR;12.8848
32770;GTN3GR;12.8006
65538;GTN3GR;82.1676
65538;GTN3GR;82.2682
65538;GTN3GR;82.5445
131074;GTN3GR;382.286
