Size;Algorithm;Time
18;GTN3RGR;2.83176e-005
18;GTN3RGR;1.86563e-005
18;GTN3RGR;8.66185e-006
34;GTN3RGR;1.43254e-005
34;GTN3RGR;1.36591e-005
34;GTN3RGR;1.39922e-005
66;GTN3RGR;2.23209e-005
66;GTN3RGR;2.79844e-005
66;GTN3RGR;2.26541e-005
130;GTN3RGR;4.23098e-005
130;GTN3RGR;4.09772e-005
130;GTN3RGR;4.29761e-005
258;GTN3RGR;0.000132593
258;GTN3RGR;0.000123931
258;GTN3RGR;0.000123265
514;GTN3RGR;0.000418101
514;GTN3RGR;0.000409772
514;GTN3RGR;0.000408106
1026;GTN3RGR;0.00157079
1026;GTN3RGR;0.00156346
1026;GTN3RGR;0.00156113
2050;GTN3RGR;0.00608495
2050;GTN3RGR;0.00608795
2050;GTN3RGR;0.00610627
4098;GTN3RGR;0.0244394
4098;GTN3RGR;0.0246779
4098;GTN3RGR;0.0243395
8194;GTN3RGR;0.105489
8194;GTN3RGR;0.103397
8194;GTN3RGR;0.105265
16386;GTN3RGR;0.423986
16386;GTN3RGR;0.439735
16386;GTN3RGR;0.421112
32770;GTN3RGR;1.68941
32770;GTN3RGR;1.7251
32770;GTN3RGR;1.7127
65538;GTN3RGR;6.80584
65538;GTN3RGR;6.77166
65538;GTN3RGR;6.7869
131074;GTN3RGR;32.0701
131074;GTN3RGR;32.5236
131074;GTN3RGR;31.9543
262146;GTN3RGR;226.964
262146;GTN3RGR;227.252
262146;GTN3RGR;227.279
