Size;Algorithm;Time
18;GT N3;1.89894e-005
18;GT N3;7.99555e-006
18;GT N3;7.6624e-006
34;GT N3;1.46585e-005
34;GT N3;1.33259e-005
34;GT N3;1.33259e-005
66;GT N3;3.33148e-005
66;GT N3;3.39811e-005
66;GT N3;3.23154e-005
130;GT N3;8.52859e-005
130;GT N3;8.0955e-005
130;GT N3;8.92837e-005
258;GT N3;0.000218545
258;GT N3;0.000221877
258;GT N3;0.000216546
514;GT N3;0.000553692
514;GT N3;0.000545696
514;GT N3;0.000541699
1026;GT N3;0.00153981
1026;GT N3;0.00157013
1026;GT N3;0.0015578
2050;GT N3;0.00478667
2050;GT N3;0.00467706
2050;GT N3;0.00466107
4098;GT N3;0.0138903
4098;GT N3;0.0141291
4098;GT N3;0.0142871
8194;GT N3;0.041359
8194;GT N3;0.0414713
8194;GT N3;0.0418007
16386;GT N3;0.126375
16386;GT N3;0.125911
16386;GT N3;0.126923
32770;GT N3;0.405522
32770;GT N3;0.412676
32770;GT N3;0.413946
65538;GT N3;1.40052
65538;GT N3;1.3839
65538;GT N3;1.34113
131074;GT N3;4.73171
131074;GT N3;4.72088
131074;GT N3;4.72031
262146;GT N3;15.6687
262146;GT N3;16.2021
262146;GT N3;15.6862
524290;GT N3;50.2252
524290;GT N3;50.2635
524290;GT N3;50.2435
1048578;GT N3;153.529
1048578;GT N3;153.367
1048578;GT N3;153.415
