Size;Algorithm;Time
18;KRLMGRE2;7.1627e-005
18;KRLMGRE2;2.93171e-005
18;KRLMGRE2;3.06497e-005
34;KRLMGRE2;6.09663e-005
34;KRLMGRE2;4.89729e-005
34;KRLMGRE2;4.49751e-005
66;KRLMGRE2;0.000116602
66;KRLMGRE2;8.82845e-005
66;KRLMGRE2;8.46198e-005
130;KRLMGRE2;0.000245531
130;KRLMGRE2;0.000216547
130;KRLMGRE2;0.000235869
258;KRLMGRE2;0.000607331
258;KRLMGRE2;0.000525709
258;KRLMGRE2;0.000516048
514;KRLMGRE2;0.00160478
514;KRLMGRE2;0.0014452
514;KRLMGRE2;0.00149184
1026;KRLMGRE2;0.00486697
1026;KRLMGRE2;0.00464643
1026;KRLMGRE2;0.00471572
2050;KRLMGRE2;0.0157603
2050;KRLMGRE2;0.0162347
2050;KRLMGRE2;0.0156933
4098;KRLMGRE2;0.078302
4098;KRLMGRE2;0.0769278
4098;KRLMGRE2;0.0749215
8194;KRLMGRE2;0.397346
8194;KRLMGRE2;0.406566
8194;KRLMGRE2;0.404805
16386;KRLMGRE2;2.13594
16386;KRLMGRE2;2.18234
16386;KRLMGRE2;2.17834
32770;KRLMGRE2;17.7084
32770;KRLMGRE2;18.1011
32770;KRLMGRE2;17.9978
65538;KRLMGRE2;105.465
65538;KRLMGRE2;106.808
65538;KRLMGRE2;106.074
131074;KRLMGRE2;495.793
