Size;Algorithm;Time
18;KR Mod Dyn;8.96171e-005
18;KR Mod Dyn;4.66409e-005
18;KR Mod Dyn;5.03055e-005
34;KR Mod Dyn;0.000122599
34;KR Mod Dyn;0.000111272
34;KR Mod Dyn;0.000106608
66;KR Mod Dyn;0.000314826
66;KR Mod Dyn;0.000280178
66;KR Mod Dyn;0.000286508
130;KR Mod Dyn;0.000918825
130;KR Mod Dyn;0.000889175
130;KR Mod Dyn;0.000879846
258;KR Mod Dyn;0.0031266
258;KR Mod Dyn;0.00302566
258;KR Mod Dyn;0.003012
514;KR Mod Dyn;0.0110765
514;KR Mod Dyn;0.0109669
514;KR Mod Dyn;0.0109546
1026;KR Mod Dyn;0.0423686
1026;KR Mod Dyn;0.0430908
1026;KR Mod Dyn;0.0429019
2050;KR Mod Dyn;0.169149
2050;KR Mod Dyn;0.170906
2050;KR Mod Dyn;0.171013
4098;KR Mod Dyn;0.677258
4098;KR Mod Dyn;0.673886
4098;KR Mod Dyn;0.677217
8194;KR Mod Dyn;2.69124
8194;KR Mod Dyn;2.69359
8194;KR Mod Dyn;2.69685
16386;KR Mod Dyn;10.7205
16386;KR Mod Dyn;10.7376
16386;KR Mod Dyn;10.7875
32770;KR Mod Dyn;47.6531
32770;KR Mod Dyn;47.7491
32770;KR Mod Dyn;47.22
65538;KR Mod Dyn;211.757
65538;KR Mod Dyn;218.947
65538;KR Mod Dyn;218.838
