Size;Algorithm;Time
18;KR1992GR;0.000929816
18;KR1992GR;0.000849194
18;KR1992GR;0.000848195
34;KR1992GR;0.0031196
34;KR1992GR;0.0028844
34;KR1992GR;0.00281044
66;KR1992GR;0.0118504
66;KR1992GR;0.0124871
66;KR1992GR;0.0118584
130;KR1992GR;0.055043
130;KR1992GR;0.0554455
130;KR1992GR;0.0543191
258;KR1992GR;0.21818
258;KR1992GR;0.218506
258;KR1992GR;0.218136
514;KR1992GR;0.87035
514;KR1992GR;0.874041
514;KR1992GR;0.87374
1026;KR1992GR;3.50154
1026;KR1992GR;3.51414
1026;KR1992GR;3.51282
2050;KR1992GR;14.3298
2050;KR1992GR;14.4454
2050;KR1992GR;14.4338
