Size;Algorithm;Time
18;KR1992MDGR;0.000101277
18;KR1992MDGR;6.36315e-005
18;KR1992MDGR;5.96337e-005
34;KR1992MDGR;0.000141921
34;KR1992MDGR;0.000129262
34;KR1992MDGR;0.00013326
66;KR1992MDGR;0.000373127
66;KR1992MDGR;0.000337147
66;KR1992MDGR;0.000341478
130;KR1992MDGR;0.00112238
130;KR1992MDGR;0.00109439
130;KR1992MDGR;0.00112238
258;KR1992MDGR;0.00381189
258;KR1992MDGR;0.00374326
258;KR1992MDGR;0.00374193
514;KR1992MDGR;0.0139959
514;KR1992MDGR;0.0139933
514;KR1992MDGR;0.0140136
1026;KR1992MDGR;0.0564528
1026;KR1992MDGR;0.0566473
1026;KR1992MDGR;0.0563588
2050;KR1992MDGR;0.223884
2050;KR1992MDGR;0.226102
2050;KR1992MDGR;0.225988
4098;KR1992MDGR;0.89801
4098;KR1992MDGR;0.903895
4098;KR1992MDGR;0.910147
8194;KR1992MDGR;3.62748
8194;KR1992MDGR;3.6608
8194;KR1992MDGR;3.65115
16386;KR1992MDGR;15.4838
16386;KR1992MDGR;16.0318
16386;KR1992MDGR;16.0035
32770;KR1992MDGR;81.6505
32770;KR1992MDGR;84.5768
32770;KR1992MDGR;84.7433
65538;KR1992MDGR;352.07
