Size;Algorithm;Time
18;KR1992M3RGR;6.59635e-005
18;KR1992M3RGR;3.3648e-005
18;KR1992M3RGR;3.76458e-005
34;KR1992M3RGR;8.12884e-005
34;KR1992M3RGR;6.16326e-005
34;KR1992M3RGR;5.5969e-005
66;KR1992M3RGR;0.000157579
66;KR1992M3RGR;0.000132926
66;KR1992M3RGR;0.000143587
130;KR1992M3RGR;0.00040944
130;KR1992M3RGR;0.000382788
130;KR1992M3RGR;0.000376125
258;KR1992M3RGR;0.00124398
258;KR1992M3RGR;0.00118968
258;KR1992M3RGR;0.00116136
514;KR1992M3RGR;0.00409673
514;KR1992M3RGR;0.00405442
514;KR1992M3RGR;0.00408141
1026;KR1992M3RGR;0.0156813
1026;KR1992M3RGR;0.0155447
1026;KR1992M3RGR;0.0157046
2050;KR1992M3RGR;0.0618458
2050;KR1992M3RGR;0.0639849
2050;KR1992M3RGR;0.0618981
4098;KR1992M3RGR;0.242549
4098;KR1992M3RGR;0.244675
4098;KR1992M3RGR;0.242345
8194;KR1992M3RGR;0.956526
8194;KR1992M3RGR;0.973136
8194;KR1992M3RGR;0.971336
16386;KR1992M3RGR;3.86745
16386;KR1992M3RGR;3.90263
16386;KR1992M3RGR;3.90022
32770;KR1992M3RGR;24.2222
32770;KR1992M3RGR;24.8995
32770;KR1992M3RGR;24.7096
65538;KR1992M3RGR;135.334
65538;KR1992M3RGR;138.08
65538;KR1992M3RGR;137.027
