Size;Algorithm;Time
18;KR1992RGR;0.000969464
18;KR1992RGR;0.000897837
18;KR1992RGR;0.000891174
34;KR1992RGR;0.00333782
34;KR1992RGR;0.00334981
34;KR1992RGR;0.00329751
66;KR1992RGR;0.013797
66;KR1992RGR;0.0141702
66;KR1992RGR;0.0141538
130;KR1992RGR;0.0644327
130;KR1992RGR;0.0633593
130;KR1992RGR;0.0636824
258;KR1992RGR;0.260249
258;KR1992RGR;0.252869
258;KR1992RGR;0.240336
514;KR1992RGR;0.972171
514;KR1992RGR;0.970848
514;KR1992RGR;0.972877
1026;KR1992RGR;4.18608
1026;KR1992RGR;4.20026
1026;KR1992RGR;4.21159
2050;KR1992RGR;18.4131
2050;KR1992RGR;18.471
2050;KR1992RGR;18.5133
