Size;Algorithm;Time
32;GTDGR;0.000587009
32;GTDGR;3.39812e-005
32;GTDGR;3.26486e-005
64;GTDGR;0.000712606
64;GTDGR;9.86121e-005
64;GTDGR;9.69464e-005
128;GTDGR;0.00270151
128;GTDGR;0.000350473
128;GTDGR;0.00037979
256;GTDGR;0.0117238
256;GTDGR;0.00138457
256;GTDGR;0.00140656
512;GTDGR;0.0465586
512;GTDGR;0.00703377
512;GTDGR;0.00738092
1024;GTDGR;0.191744
1024;GTDGR;0.0368026
1024;GTDGR;0.0370492
2048;GTDGR;0.79585
2048;GTDGR;0.168743
2048;GTDGR;0.1696
4096;GTDGR;3.34126
4096;GTDGR;0.718889
4096;GTDGR;0.716864
8192;GTDGR;70.6937
8192;GTDGR;2.8803
8192;GTDGR;2.87496
