Size;Algorithm;Time
32;GT Dyn;0.00019889
32;GT Dyn;3.33149e-005
32;GT Dyn;3.29818e-005
64;GT Dyn;0.000711606
64;GT Dyn;0.000106941
64;GT Dyn;0.000102943
128;GT Dyn;0.00287074
128;GT Dyn;0.000389784
128;GT Dyn;0.000367463
256;GT Dyn;0.0121173
256;GT Dyn;0.00142621
256;GT Dyn;0.00142854
512;GT Dyn;0.0475827
512;GT Dyn;0.00624055
512;GT Dyn;0.00626287
1024;GT Dyn;0.191491
1024;GT Dyn;0.0256675
1024;GT Dyn;0.025857
2048;GT Dyn;0.771465
2048;GT Dyn;0.103318
2048;GT Dyn;0.10337
4096;GT Dyn;3.22302
4096;GT Dyn;0.443147
4096;GT Dyn;0.441259
8192;GT Dyn;74.964
8192;GT Dyn;1.77472
8192;GT Dyn;1.76094
