Size;Algorithm;Time
32;KRLMGRE2;0.00109673
32;KRLMGRE2;0.000353138
32;KRLMGRE2;0.000321489
64;KRLMGRE2;0.00200922
64;KRLMGRE2;0.00145986
64;KRLMGRE2;0.00158745
128;KRLMGRE2;0.00895504
128;KRLMGRE2;0.00673661
128;KRLMGRE2;0.00673128
256;KRLMGRE2;0.0431621
256;KRLMGRE2;0.0335108
256;KRLMGRE2;0.0329551
512;KRLMGRE2;0.213873
512;KRLMGRE2;0.167834
512;KRLMGRE2;0.167716
1024;KRLMGRE2;0.898575
1024;KRLMGRE2;0.778476
1024;KRLMGRE2;0.794343
2048;KRLMGRE2;4.07778
2048;KRLMGRE2;3.57607
2048;KRLMGRE2;3.57717
4096;KRLMGRE2;18.5976
4096;KRLMGRE2;16.5251
4096;KRLMGRE2;16.5609
