Size;Algorithm;Time
32;KRLMGRE2;0.0199693
32;KRLMGRE2;0.000545698
32;KRLMGRE2;0.000502389
64;KRLMGRE2;0.00339412
64;KRLMGRE2;0.00229173
64;KRLMGRE2;0.00240733
128;KRLMGRE2;0.00826309
128;KRLMGRE2;0.00572083
128;KRLMGRE2;0.00572616
256;KRLMGRE2;0.0374879
256;KRLMGRE2;0.0294024
256;KRLMGRE2;0.0287001
512;KRLMGRE2;0.194303
512;KRLMGRE2;0.163085
512;KRLMGRE2;0.162669
1024;KRLMGRE2;0.875093
1024;KRLMGRE2;0.756717
1024;KRLMGRE2;0.765045
2048;KRLMGRE2;3.9817
2048;KRLMGRE2;3.49529
2048;KRLMGRE2;3.48939
4096;KRLMGRE2;18.1236
4096;KRLMGRE2;15.9117
4096;KRLMGRE2;16.1273
