Size;Algorithm;Time
32;KR1992M3RGR;0.00131527
32;KR1992M3RGR;0.000534038
32;KR1992M3RGR;0.000482067
64;KR1992M3RGR;0.00290739
64;KR1992M3RGR;0.00196158
64;KR1992M3RGR;0.00206253
128;KR1992M3RGR;0.013851
128;KR1992M3RGR;0.00594538
128;KR1992M3RGR;0.00583044
256;KR1992M3RGR;0.0378694
256;KR1992M3RGR;0.0294597
256;KR1992M3RGR;0.0291116
512;KR1992M3RGR;0.196515
512;KR1992M3RGR;0.165581
512;KR1992M3RGR;0.165637
1024;KR1992M3RGR;0.881601
1024;KR1992M3RGR;0.769476
1024;KR1992M3RGR;0.775258
2048;KR1992M3RGR;4.00477
2048;KR1992M3RGR;3.526
2048;KR1992M3RGR;3.53565
4096;KR1992M3RGR;18.1892
4096;KR1992M3RGR;16.1446
4096;KR1992M3RGR;16.2623
