Size;Algorithm;Time
32;GTDRGR;0.00063165
32;GTDRGR;8.4953e-005
32;GTDRGR;8.82845e-005
64;GTDRGR;0.000997448
64;GTDRGR;0.000444754
64;GTDRGR;0.000441089
128;GTDRGR;0.00471073
128;GTDRGR;0.00231139
128;GTDRGR;0.00235503
256;GTDRGR;0.0178828
256;GTDRGR;0.00808653
256;GTDRGR;0.00815082
512;GTDRGR;0.112507
512;GTDRGR;0.0745371
512;GTDRGR;0.0677688
1024;GTDRGR;0.550076
1024;GTDRGR;0.397152
1024;GTDRGR;0.400888
2048;GTDRGR;2.84125
2048;GTDRGR;2.24739
2048;GTDRGR;2.2628
4096;GTDRGR;11.2392
4096;GTDRGR;8.68173
4096;GTDRGR;8.69123
8192;GTDRGR;104.026
8192;GTDRGR;38.9
8192;GTDRGR;38.8152
