Size;Algorithm;Time
32;GTGRE2;0.000436425
32;GTGRE2;2.53193e-005
32;GTGRE2;2.49862e-005
64;GTGRE2;7.49585e-005
64;GTGRE2;7.12939e-005
64;GTGRE2;7.62911e-005
128;GTGRE2;0.000346142
128;GTGRE2;0.000336814
128;GTGRE2;0.000334815
256;GTGRE2;0.00121366
256;GTGRE2;0.00119334
256;GTGRE2;0.00119501
512;GTGRE2;0.00615659
512;GTGRE2;0.00646209
512;GTGRE2;0.00627919
1024;GTGRE2;0.0267542
1024;GTGRE2;0.0259137
1024;GTGRE2;0.0266536
2048;GTGRE2;0.104823
2048;GTGRE2;0.104016
2048;GTGRE2;0.103367
4096;GTGRE2;0.585533
4096;GTGRE2;0.576978
4096;GTGRE2;0.584769
8192;GTGRE2;2.34898
8192;GTGRE2;2.34892
8192;GTGRE2;2.28973
