Size;Algorithm;Time
32;GTN3GR;6.62965e-005
32;GTN3GR;2.53192e-005
32;GTN3GR;2.86507e-005
64;GTN3GR;9.69461e-005
64;GTN3GR;6.46307e-005
64;GTN3GR;9.79455e-005
128;GTN3GR;0.000226207
128;GTN3GR;0.000234869
128;GTN3GR;0.00023287
256;GTN3GR;0.000842864
256;GTN3GR;0.000838867
256;GTN3GR;0.000840199
512;GTN3GR;0.00415336
512;GTN3GR;0.00409239
512;GTN3GR;0.00669661
1024;GTN3GR;0.0194242
1024;GTN3GR;0.0195091
1024;GTN3GR;0.0194495
2048;GTN3GR;0.0752561
2048;GTN3GR;0.0769862
2048;GTN3GR;0.0771074
4096;GTN3GR;0.357947
4096;GTN3GR;0.357415
4096;GTN3GR;0.357543
8192;GTN3GR;1.47585
8192;GTN3GR;1.73761
8192;GTN3GR;1.8688
