Size;Algorithm;Time
32;GTN3RGR;6.32981e-005
32;GTN3RGR;4.19766e-005
32;GTN3RGR;4.46418e-005
64;GTN3RGR;0.000229539
64;GTN3RGR;0.000216546
64;GTN3RGR;0.00021488
128;GTN3RGR;0.0010191
128;GTN3RGR;0.00101777
128;GTN3RGR;0.00101743
256;GTN3RGR;0.0032402
256;GTN3RGR;0.00322154
256;GTN3RGR;0.00324186
512;GTN3RGR;0.025687
512;GTN3RGR;0.0254085
512;GTN3RGR;0.0280431
1024;GTN3RGR;0.099382
1024;GTN3RGR;0.0999137
1024;GTN3RGR;0.0990186
2048;GTN3RGR;0.442344
2048;GTN3RGR;0.445261
2048;GTN3RGR;0.44453
4096;GTN3RGR;1.8751
4096;GTN3RGR;1.87203
4096;GTN3RGR;1.87209
8192;GTN3RGR;8.14056
8192;GTN3RGR;8.68411
8192;GTN3RGR;8.8937
