Size;Algorithm;Time
32;KRLMGRE2;0.00121533
32;KRLMGRE2;0.000465076
32;KRLMGRE2;0.000441756
64;KRLMGRE2;0.00248929
64;KRLMGRE2;0.00190428
64;KRLMGRE2;0.00194626
128;KRLMGRE2;0.0112158
128;KRLMGRE2;0.00859125
128;KRLMGRE2;0.00862723
256;KRLMGRE2;0.0546045
256;KRLMGRE2;0.0447223
256;KRLMGRE2;0.0446789
512;KRLMGRE2;0.271457
512;KRLMGRE2;0.229666
512;KRLMGRE2;0.22875
1024;KRLMGRE2;1.11817
1024;KRLMGRE2;1.01592
1024;KRLMGRE2;1.02352
2048;KRLMGRE2;4.94135
2048;KRLMGRE2;4.45466
2048;KRLMGRE2;4.50049
4096;KRLMGRE2;22.6823
4096;KRLMGRE2;20.6257
4096;KRLMGRE2;20.7687
