Size;Algorithm;Time
32;KR1992MDRGR;0.00136458
32;KR1992MDRGR;0.000456081
32;KR1992MDRGR;0.000419101
64;KR1992MDRGR;0.00241067
64;KR1992MDRGR;0.00188562
64;KR1992MDRGR;0.00198657
128;KR1992MDRGR;0.0119864
128;KR1992MDRGR;0.00997515
128;KR1992MDRGR;0.010179
256;KR1992MDRGR;0.067982
256;KR1992MDRGR;0.0619201
256;KR1992MDRGR;0.0613097
512;KR1992MDRGR;0.404167
512;KR1992MDRGR;0.35888
512;KR1992MDRGR;0.360881
1024;KR1992MDRGR;3.54409
1024;KR1992MDRGR;3.47107
1024;KR1992MDRGR;3.50138
2048;KR1992MDRGR;25.4487
2048;KR1992MDRGR;25.159
2048;KR1992MDRGR;25.2826
4096;KR1992MDRGR;216.77
4096;KR1992MDRGR;216.92
4096;KR1992MDRGR;216.548
