File;Algorithm;Time
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba4.max;GTDGRE2;1.05059
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba4.max;GTDGRE2;0.989535
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba4.max;GTDGRE2;0.988313
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-tsukuba\KZ2-tsukuba13.max;GTDGRE2;0.301443
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-tsukuba\KZ2-tsukuba13.max;GTDGRE2;0.234
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-tsukuba\KZ2-tsukuba13.max;GTDGRE2;0.23454
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba5.max;GTDGRE2;0.72382
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba5.max;GTDGRE2;0.656017
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba5.max;GTDGRE2;0.657184
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba7.max;GTDGRE2;1.38049
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba7.max;GTDGRE2;1.31942
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba7.max;GTDGRE2;1.31832
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba8.max;GTDGRE2;0.850561
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba8.max;GTDGRE2;0.785043
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba8.max;GTDGRE2;0.787986
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba3.max;GTDGRE2;1.32547
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba3.max;GTDGRE2;1.25976
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba3.max;GTDGRE2;1.25704
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba2.max;GTDGRE2;1.14732
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba2.max;GTDGRE2;1.07762
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba2.max;GTDGRE2;1.07295
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba11.max;GTDGRE2;1.10326
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba11.max;GTDGRE2;1.03213
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba11.max;GTDGRE2;1.03171
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba6.max;GTDGRE2;0.698037
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba6.max;GTDGRE2;0.637526
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba6.max;GTDGRE2;0.636599
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba12.max;GTDGRE2;0.965596
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba12.max;GTDGRE2;0.90174
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba12.max;GTDGRE2;0.897479
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba10.max;GTDGRE2;1.10137
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba10.max;GTDGRE2;1.03523
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba10.max;GTDGRE2;1.03407
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba0.max;GTDGRE2;0.951055
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba0.max;GTDGRE2;0.886679
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba0.max;GTDGRE2;0.882919
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba14.max;GTDGRE2;0.882229
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba14.max;GTDGRE2;0.816514
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba14.max;GTDGRE2;0.815255
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba9.max;GTDGRE2;0.54929
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba9.max;GTDGRE2;0.48178
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba9.max;GTDGRE2;0.482672
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba15.max;GTDGRE2;1.26806
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba15.max;GTDGRE2;1.20143
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba15.max;GTDGRE2;1.20778
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba1.max;GTDGRE2;1.03663
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba1.max;GTDGRE2;0.974236
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba1.max;GTDGRE2;0.97007
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba13.max;GTDGRE2;0.106893
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba13.max;GTDGRE2;0.023446
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-tsukuba\BVZ-tsukuba13.max;GTDGRE2;0.0232948
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-sawtooth\KZ2-sawtooth17.max;GTDGRE2;0.573279
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-sawtooth\KZ2-sawtooth17.max;GTDGRE2;0.476039
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-sawtooth\KZ2-sawtooth17.max;GTDGRE2;0.476674
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-venus\KZ2-venus19.max;GTDGRE2;0.496245
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-venus\KZ2-venus19.max;GTDGRE2;0.398517
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\KZ2-venus\KZ2-venus19.max;GTDGRE2;0.396856
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus7.max;GTDGRE2;1.91564
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus7.max;GTDGRE2;1.82877
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus7.max;GTDGRE2;1.81638
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth8.max;GTDGRE2;1.64361
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth8.max;GTDGRE2;1.5446
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth8.max;GTDGRE2;1.53896
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus5.max;GTDGRE2;1.97505
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus5.max;GTDGRE2;1.87932
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus5.max;GTDGRE2;1.87372
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth14.max;GTDGRE2;2.04895
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth14.max;GTDGRE2;1.94035
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth14.max;GTDGRE2;1.93921
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus12.max;GTDGRE2;2.05718
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus12.max;GTDGRE2;1.9554
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus12.max;GTDGRE2;1.95133
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus11.max;GTDGRE2;1.79506
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus11.max;GTDGRE2;1.68577
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus11.max;GTDGRE2;1.68488
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus13.max;GTDGRE2;1.56875
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus13.max;GTDGRE2;1.47144
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus13.max;GTDGRE2;1.46288
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus8.max;GTDGRE2;1.88109
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus8.max;GTDGRE2;1.78122
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus8.max;GTDGRE2;1.7823
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth16.max;GTDGRE2;2.29223
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth16.max;GTDGRE2;2.20214
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-sawtooth\BVZ-sawtooth16.max;GTDGRE2;2.19443
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus10.max;GTDGRE2;2.2648
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus10.max;GTDGRE2;2.15838
D:\Users\Beier\Documents\MasterThesis\Graphs\ComputerVision\BVZ-venus\BVZ-venus10.max;GTDGRE2;2.14789
