a;b;Algorithm;Time
3;3;Dinic;2.23209e-005
3;3;Dinic;2.06552e-005
3;3;Dinic;2.19878e-005
3;3;Dinic;2.06552e-005
3;3;Dinic;1.99889e-005
3;3;Dinic;1.89894e-005
4;4;Dinic;7.32926e-005
4;4;Dinic;7.12937e-005
4;4;Dinic;6.66296e-005
5;5;Dinic;0.000194225
5;5;Dinic;0.000191893
5;5;Dinic;0.000190561
6;6;Dinic;0.00121566
6;6;Dinic;0.00121732
6;6;Dinic;0.000912492
8;8;Dinic;0.0031699
8;8;Dinic;0.00316357
8;8;Dinic;0.00302465
10;10;Dinic;0.00991548
10;10;Dinic;0.00987351
10;10;Dinic;0.00995913
13;13;Dinic;0.0246453
13;13;Dinic;0.0209284
13;13;Dinic;0.0209957
16;16;Dinic;0.0535945
16;16;Dinic;0.0535322
16;16;Dinic;0.0535016
20;20;Dinic;0.140522
20;20;Dinic;0.153103
20;20;Dinic;0.140975
25;25;Dinic;0.593712
25;25;Dinic;0.592763
25;25;Dinic;0.593635
32;32;Dinic;2.42577
32;32;Dinic;2.41776
32;32;Dinic;2.40777
40;40;Dinic;9.92841
40;40;Dinic;9.91367
40;40;Dinic;9.94046
51;51;Dinic;24.7149
51;51;Dinic;24.7015
51;51;Dinic;24.7306
64;64;Dinic;72.9254
64;64;Dinic;72.8825
64;64;Dinic;72.8682
81;81;Dinic;196.496
81;81;Dinic;196.269
