a;b;Algorithm;Time
3;3;EKLib;0.00124198
3;3;EKLib;0.00121467
3;3;EKLib;0.00121566
3;3;EKLib;0.00121633
3;3;EKLib;0.00121866
3;3;EKLib;0.001216
4;4;EKLib;0.00713941
4;4;EKLib;0.00718305
4;4;EKLib;0.00712608
5;5;EKLib;0.0525001
5;5;EKLib;0.0263335
5;5;EKLib;0.0262129
6;6;EKLib;0.110542
6;6;EKLib;0.110534
6;6;EKLib;0.110419
8;8;EKLib;0.536309
8;8;EKLib;0.533241
8;8;EKLib;0.536878
10;10;EKLib;2.40178
10;10;EKLib;2.39528
10;10;EKLib;2.41983
13;13;EKLib;11.9129
13;13;EKLib;11.9079
13;13;EKLib;11.9957
16;16;EKLib;44.471
16;16;EKLib;43.8957
16;16;EKLib;44.3849
20;20;EKLib;215.354
20;20;EKLib;211.654
20;20;EKLib;208.802
