a;b;Algorithm;Time
3;3;GTDGR;0.0001196
3;3;GTDGR;7.72906e-005
3;3;GTDGR;7.1627e-005
3;3;GTDGR;9.32817e-005
3;3;GTDGR;7.52917e-005
3;3;GTDGR;7.26265e-005
4;4;GTDGR;0.00034914
4;4;GTDGR;0.00031849
4;4;GTDGR;0.000318824
5;5;GTDGR;0.000804222
5;5;GTDGR;0.00073526
5;5;GTDGR;0.00075958
6;6;GTDGR;0.00261622
6;6;GTDGR;0.00248896
6;6;GTDGR;0.00247796
8;8;GTDGR;0.0116799
8;8;GTDGR;0.0113261
8;8;GTDGR;0.0114157
10;10;GTDGR;0.0480644
10;10;GTDGR;0.0471832
10;10;GTDGR;0.0473271
13;13;GTDGR;0.21754
13;13;GTDGR;0.216127
13;13;GTDGR;0.215858
16;16;GTDGR;0.745111
16;16;GTDGR;0.742231
16;16;GTDGR;0.745054
20;20;GTDGR;2.96988
20;20;GTDGR;2.97149
20;20;GTDGR;2.96413
25;25;GTDGR;14.6101
25;25;GTDGR;14.7666
25;25;GTDGR;14.847
32;32;GTDGR;103.882
32;32;GTDGR;104.417
32;32;GTDGR;105.087
40;40;GTDGR;428.874
