a;b;Algorithm;Time
3;3;GTLib;0.00095814
3;3;GTLib;0.000904169
3;3;GTLib;0.000904169
3;3;GTLib;0.000930155
3;3;GTLib;0.000909833
3;3;GTLib;0.000905169
4;4;GTLib;0.00261989
4;4;GTLib;0.00262589
4;4;GTLib;0.0026149
5;5;GTLib;0.00657072
5;5;GTLib;0.0065544
5;5;GTLib;0.00656206
6;6;GTLib;0.0135689
6;6;GTLib;0.0135672
6;6;GTLib;0.0135695
8;8;GTLib;0.0429887
8;8;GTLib;0.0430483
8;8;GTLib;0.043025
10;10;GTLib;0.114996
10;10;GTLib;0.114998
10;10;GTLib;0.114868
13;13;GTLib;0.293153
13;13;GTLib;0.291499
13;13;GTLib;0.291086
16;16;GTLib;0.585345
16;16;GTLib;0.585471
16;16;GTLib;0.588497
20;20;GTLib;1.55768
20;20;GTLib;1.55097
20;20;GTLib;1.55063
25;25;GTLib;5.74235
25;25;GTLib;5.74517
25;25;GTLib;5.74398
32;32;GTLib;15.1229
32;32;GTLib;15.1289
32;32;GTLib;15.1266
40;40;GTLib;43.9458
40;40;GTLib;43.964
40;40;GTLib;43.9607
51;51;GTLib;164.311
51;51;GTLib;164.355
51;51;GTLib;164.335
