a;b;Algorithm;Time
3;3;GTN3GR;4.19766e-005
3;3;GTN3GR;2.4653e-005
3;3;GTN3GR;2.43198e-005
3;3;GTN3GR;2.33204e-005
3;3;GTN3GR;2.09883e-005
3;3;GTN3GR;2.29872e-005
4;4;GTN3GR;0.000112271
4;4;GTN3GR;0.000111271
4;4;GTN3GR;0.000109939
5;5;GTN3GR;0.000327484
5;5;GTN3GR;0.000325819
5;5;GTN3GR;0.000326485
6;6;GTN3GR;0.00138789
6;6;GTN3GR;0.0013829
6;6;GTN3GR;0.00137757
8;8;GTN3GR;0.00680588
8;8;GTN3GR;0.00684652
8;8;GTN3GR;0.00681954
10;10;GTN3GR;0.0309358
10;10;GTN3GR;0.0316207
10;10;GTN3GR;0.031085
13;13;GTN3GR;0.165588
13;13;GTN3GR;0.166048
13;13;GTN3GR;0.167804
16;16;GTN3GR;0.582454
16;16;GTN3GR;0.584853
16;16;GTN3GR;0.583557
20;20;GTN3GR;2.3503
20;20;GTN3GR;2.34298
20;20;GTN3GR;2.36051
25;25;GTN3GR;10.7728
25;25;GTN3GR;10.8071
25;25;GTN3GR;10.8561
32;32;GTN3GR;86.2064
32;32;GTN3GR;86.0781
32;32;GTN3GR;84.5526
40;40;GTN3GR;374.008
