a;b;Algorithm;Time
3;3;GT N3;2.89839e-005
3;3;GT N3;2.43198e-005
3;3;GT N3;2.29872e-005
3;3;GT N3;2.43198e-005
3;3;GT N3;2.36535e-005
3;3;GT N3;2.33204e-005
4;4;GT N3;0.000150916
4;4;GT N3;0.000162576
4;4;GT N3;0.000148251
5;5;GT N3;0.000300166
5;5;GT N3;0.000276513
5;5;GT N3;0.00027618
6;6;GT N3;0.00111405
6;6;GT N3;0.00111305
6;6;GT N3;0.00111538
8;8;GT N3;0.0127389
8;8;GT N3;0.0126886
8;8;GT N3;0.012656
10;10;GT N3;0.0741318
10;10;GT N3;0.0763312
10;10;GT N3;0.0747561
13;13;GT N3;0.0553296
13;13;GT N3;0.0555691
13;13;GT N3;0.0551913
16;16;GT N3;0.244882
16;16;GT N3;0.246627
16;16;GT N3;0.246375
20;20;GT N3;0.479257
20;20;GT N3;0.484662
20;20;GT N3;0.501308
25;25;GT N3;31.4676
25;25;GT N3;31.3787
25;25;GT N3;31.4048
32;32;GT N3;59.5343
32;32;GT N3;59.1849
32;32;GT N3;58.7964
40;40;GT N3;110.461
40;40;GT N3;109.576
40;40;GT N3;109.545
