a;b;Algorithm;Time
3;3;KRLMGRE2;0.000211216
3;3;KRLMGRE2;0.000150916
3;3;KRLMGRE2;0.000147918
3;3;KRLMGRE2;0.000170572
3;3;KRLMGRE2;0.000150916
3;3;KRLMGRE2;0.000150583
4;4;KRLMGRE2;0.000732595
4;4;KRLMGRE2;0.000691617
4;4;KRLMGRE2;0.000743589
5;5;KRLMGRE2;0.00203954
5;5;KRLMGRE2;0.00196091
5;5;KRLMGRE2;0.00196591
6;6;KRLMGRE2;0.00547397
6;6;KRLMGRE2;0.00534638
6;6;KRLMGRE2;0.0063858
8;8;KRLMGRE2;0.0224053
8;8;KRLMGRE2;0.0219938
8;8;KRLMGRE2;0.0216094
10;10;KRLMGRE2;0.0695522
10;10;KRLMGRE2;0.0697454
10;10;KRLMGRE2;0.0683192
13;13;KRLMGRE2;0.258509
13;13;KRLMGRE2;0.256458
13;13;KRLMGRE2;0.257467
16;16;KRLMGRE2;0.755166
16;16;KRLMGRE2;0.747873
16;16;KRLMGRE2;0.748444
20;20;KRLMGRE2;2.48342
20;20;KRLMGRE2;2.47632
20;20;KRLMGRE2;2.49028
25;25;KRLMGRE2;8.25449
25;25;KRLMGRE2;8.26682
25;25;KRLMGRE2;8.25869
32;32;KRLMGRE2;30.1213
32;32;KRLMGRE2;30.1852
32;32;KRLMGRE2;30.1343
40;40;KRLMGRE2;92.175
40;40;KRLMGRE2;92.1417
40;40;KRLMGRE2;92.2087
51;51;KRLMGRE2;328.233
