a;b;Algorithm;Time
3;3;KRLMGRE2;0.000126263
3;3;KRLMGRE2;8.02889e-005
3;3;KRLMGRE2;8.22878e-005
3;3;KRLMGRE2;9.72795e-005
3;3;KRLMGRE2;8.06221e-005
3;3;KRLMGRE2;7.99558e-005
4;4;KRLMGRE2;0.00032582
4;4;KRLMGRE2;0.000376792
4;4;KRLMGRE2;0.000275181
5;5;KRLMGRE2;0.000914161
5;5;KRLMGRE2;0.000759247
5;5;KRLMGRE2;0.000761245
6;6;KRLMGRE2;0.00116735
6;6;KRLMGRE2;0.000936482
6;6;KRLMGRE2;0.000923489
8;8;KRLMGRE2;0.0106598
8;8;KRLMGRE2;0.0101201
8;8;KRLMGRE2;0.0101391
10;10;KRLMGRE2;0.0245581
10;10;KRLMGRE2;0.0239404
10;10;KRLMGRE2;0.0243652
13;13;KRLMGRE2;0.0957444
13;13;KRLMGRE2;0.0883798
13;13;KRLMGRE2;0.0888325
16;16;KRLMGRE2;0.0644303
16;16;KRLMGRE2;0.0615373
16;16;KRLMGRE2;0.061511
20;20;KRLMGRE2;0.845653
20;20;KRLMGRE2;0.845222
20;20;KRLMGRE2;0.839715
25;25;KRLMGRE2;2.97242
25;25;KRLMGRE2;2.97808
25;25;KRLMGRE2;2.98552
32;32;KRLMGRE2;11.0415
32;32;KRLMGRE2;10.9961
32;32;KRLMGRE2;11.0206
40;40;KRLMGRE2;33.425
40;40;KRLMGRE2;33.3092
40;40;KRLMGRE2;33.3248
51;51;KRLMGRE2;23.5096
51;51;KRLMGRE2;23.3359
51;51;KRLMGRE2;23.3664
64;64;KRLMGRE2;59.373
64;64;KRLMGRE2;58.9905
64;64;KRLMGRE2;59.1023
