a;b;Algorithm;Time
3;3;KR1992MDGR;0.000177902
3;3;KR1992MDGR;0.000124931
3;3;KR1992MDGR;0.000125597
3;3;KR1992MDGR;0.000146252
3;3;KR1992MDGR;0.000124598
3;3;KR1992MDGR;0.000129928
4;4;KR1992MDGR;0.000561689
4;4;KR1992MDGR;0.000513716
4;4;KR1992MDGR;0.000516381
5;5;KR1992MDGR;0.00163943
5;5;KR1992MDGR;0.00156413
5;5;KR1992MDGR;0.0015738
6;6;KR1992MDGR;0.0057798
6;6;KR1992MDGR;0.0056692
6;6;KR1992MDGR;0.00563488
8;8;KR1992MDGR;0.0255099
8;8;KR1992MDGR;0.0252177
8;8;KR1992MDGR;0.0250115
10;10;KR1992MDGR;0.102225
10;10;KR1992MDGR;0.100441
10;10;KR1992MDGR;0.100251
13;13;KR1992MDGR;0.474412
13;13;KR1992MDGR;0.473097
13;13;KR1992MDGR;0.473844
16;16;KR1992MDGR;1.68934
16;16;KR1992MDGR;1.70565
16;16;KR1992MDGR;1.68345
20;20;KR1992MDGR;6.86262
20;20;KR1992MDGR;6.86809
20;20;KR1992MDGR;6.85437
25;25;KR1992MDGR;32.8366
25;25;KR1992MDGR;33.3922
25;25;KR1992MDGR;33.4162
32;32;KR1992MDGR;186.418
32;32;KR1992MDGR;187.357
32;32;KR1992MDGR;187.331
