a;b;Algorithm;Time
3;3;KR1992MDRGR;0.00022221
3;3;KR1992MDRGR;0.000165575
3;3;KR1992MDRGR;0.000163909
3;3;KR1992MDRGR;0.000182566
3;3;KR1992MDRGR;0.000165575
3;3;KR1992MDRGR;0.000161244
4;4;KR1992MDRGR;0.000898503
4;4;KR1992MDRGR;0.000876182
4;4;KR1992MDRGR;0.000873517
5;5;KR1992MDRGR;0.00267019
5;5;KR1992MDRGR;0.00259323
5;5;KR1992MDRGR;0.00260189
6;6;KR1992MDRGR;0.00841135
6;6;KR1992MDRGR;0.00825776
6;6;KR1992MDRGR;0.00822445
8;8;KR1992MDRGR;0.038025
8;8;KR1992MDRGR;0.03791
8;8;KR1992MDRGR;0.0374739
10;10;KR1992MDRGR;0.142704
10;10;KR1992MDRGR;0.141112
10;10;KR1992MDRGR;0.141045
13;13;KR1992MDRGR;0.647002
13;13;KR1992MDRGR;0.645978
13;13;KR1992MDRGR;0.646976
16;16;KR1992MDRGR;2.09227
16;16;KR1992MDRGR;2.06563
16;16;KR1992MDRGR;2.06697
20;20;KR1992MDRGR;10.3662
20;20;KR1992MDRGR;10.3582
20;20;KR1992MDRGR;10.3202
25;25;KR1992MDRGR;34.1929
25;25;KR1992MDRGR;34.9064
25;25;KR1992MDRGR;34.9208
32;32;KR1992MDRGR;177.745
32;32;KR1992MDRGR;177.729
32;32;KR1992MDRGR;177.971
