a;b;Algorithm;Time
3;3;KR1992M3GR;0.000103942
3;3;KR1992M3GR;6.36315e-005
3;3;KR1992M3GR;5.99668e-005
3;3;KR1992M3GR;7.96226e-005
3;3;KR1992M3GR;6.32983e-005
3;3;KR1992M3GR;6.03e-005
4;4;KR1992M3GR;0.000265853
4;4;KR1992M3GR;0.000221211
4;4;KR1992M3GR;0.00021155
5;5;KR1992M3GR;0.00069295
5;5;KR1992M3GR;0.000621656
5;5;KR1992M3GR;0.000636315
6;6;KR1992M3GR;0.00203354
6;6;KR1992M3GR;0.00194392
6;6;KR1992M3GR;0.00191061
8;8;KR1992M3GR;0.00831607
8;8;KR1992M3GR;0.00809286
8;8;KR1992M3GR;0.00808453
10;10;KR1992M3GR;0.0323058
10;10;KR1992M3GR;0.0318854
10;10;KR1992M3GR;0.0320503
13;13;KR1992M3GR;0.14019
13;13;KR1992M3GR;0.140081
13;13;KR1992M3GR;0.13937
16;16;KR1992M3GR;0.49253
16;16;KR1992M3GR;0.490626
16;16;KR1992M3GR;0.493292
20;20;KR1992M3GR;1.89989
20;20;KR1992M3GR;1.91445
20;20;KR1992M3GR;1.94668
25;25;KR1992M3GR;9.30694
25;25;KR1992M3GR;9.56096
25;25;KR1992M3GR;9.36366
32;32;KR1992M3GR;67.4223
32;32;KR1992M3GR;66.2582
32;32;KR1992M3GR;66.2709
40;40;KR1992M3GR;276.497
40;40;KR1992M3GR;272.149
