a;b;Algorithm;Time
3;3;KR1992RGR;0.00224709
3;3;KR1992RGR;0.00223343
3;3;KR1992RGR;0.0021648
3;3;KR1992RGR;0.00210384
3;3;KR1992RGR;0.00201355
3;3;KR1992RGR;0.00214015
4;4;KR1992RGR;0.0261099
4;4;KR1992RGR;0.0261362
4;4;KR1992RGR;0.0141672
5;5;KR1992RGR;0.0607697
5;5;KR1992RGR;0.0605119
5;5;KR1992RGR;0.060211
6;6;KR1992RGR;0.205028
6;6;KR1992RGR;0.205111
6;6;KR1992RGR;0.205463
8;8;KR1992RGR;1.26391
8;8;KR1992RGR;1.26539
8;8;KR1992RGR;1.26702
10;10;KR1992RGR;5.70451
10;10;KR1992RGR;5.72597
10;10;KR1992RGR;5.72159
13;13;KR1992RGR;191.977
13;13;KR1992RGR;217.681
13;13;KR1992RGR;184.39
