a;b;Algorithm;Time
3;2;BKLib;0.000131927
3;2;BKLib;9.095e-005
3;2;BKLib;8.92842e-005
4;2;BKLib;0.000218213
4;2;BKLib;0.000216548
4;2;BKLib;0.000213216
5;2;BKLib;0.000402112
5;2;BKLib;0.000399114
5;2;BKLib;0.000398114
7;3;BKLib;0.00250529
7;3;BKLib;0.00250562
7;3;BKLib;0.00251928
9;3;BKLib;0.00554395
9;3;BKLib;0.00552529
9;3;BKLib;0.00553629
12;3;BKLib;0.0110349
12;3;BKLib;0.0110166
12;3;BKLib;0.0110583
16;4;BKLib;0.0571306
16;4;BKLib;0.0569893
16;4;BKLib;0.0570799
21;5;BKLib;0.242193
21;5;BKLib;0.242418
21;5;BKLib;0.241888
28;5;BKLib;0.628298
28;5;BKLib;0.630608
28;5;BKLib;0.629255
37;6;BKLib;3.26688
37;6;BKLib;3.27695
37;6;BKLib;3.28342
49;7;BKLib;14.2486
49;7;BKLib;14.2538
49;7;BKLib;14.245
64;8;BKLib;64.8646
64;8;BKLib;64.8185
64;8;BKLib;65.6064
84;9;BKLib;293.076
84;9;BKLib;293.253
