a;b;Algorithm;Time
3;2;GR;0.000642309
3;2;GR;0.000598001
3;2;GR;0.000590338
4;2;GR;0.00139289
4;2;GR;0.00137057
4;2;GR;0.00138023
5;2;GR;0.00315391
5;2;GR;0.00312993
5;2;GR;0.00309894
7;3;GR;0.016131
7;3;GR;0.0160831
7;3;GR;0.0161154
9;3;GR;0.0320968
9;3;GR;0.0318723
9;3;GR;0.0316864
12;3;GR;0.0816422
12;3;GR;0.0815869
12;3;GR;0.0821976
16;4;GR;0.342282
16;4;GR;0.345616
16;4;GR;0.343692
21;5;GR;1.15725
21;5;GR;1.15465
21;5;GR;1.14759
28;5;GR;2.85532
28;5;GR;2.86399
28;5;GR;2.85307
37;6;GR;8.09176
37;6;GR;8.07685
37;6;GR;8.03609
49;7;GR;30.1821
49;7;GR;30.19
49;7;GR;30.1862
64;8;GR;122.82
64;8;GR;122.935
64;8;GR;122.843
84;9;GR;385.18
