a;b;Algorithm;Time
3;2;GTDGR;7.96226e-005
3;2;GTDGR;5.03055e-005
3;2;GTDGR;4.63077e-005
4;2;GTDGR;0.00010894
4;2;GTDGR;8.42867e-005
4;2;GTDGR;9.02834e-005
5;2;GTDGR;0.000213882
5;2;GTDGR;0.000189895
5;2;GTDGR;0.000189229
7;3;GTDGR;0.00149817
7;3;GTDGR;0.00142388
7;3;GTDGR;0.00142155
9;3;GTDGR;0.00350539
9;3;GTDGR;0.00340745
9;3;GTDGR;0.00344176
12;3;GTDGR;0.010224
12;3;GTDGR;0.0100068
12;3;GTDGR;0.0101051
16;4;GTDGR;0.0603073
16;4;GTDGR;0.0597886
16;4;GTDGR;0.0594977
21;5;GTDGR;0.296731
21;5;GTDGR;0.294661
21;5;GTDGR;0.295789
28;5;GTDGR;0.965189
28;5;GTDGR;0.962122
28;5;GTDGR;0.964404
37;6;GTDGR;4.61575
37;6;GTDGR;4.61645
37;6;GTDGR;4.62129
49;7;GTDGR;22.3661
49;7;GTDGR;22.5597
49;7;GTDGR;22.5069
64;8;GTDGR;138.275
64;8;GTDGR;138.109
64;8;GTDGR;139.14
