a;b;Algorithm;Time
3;2;GTDGRE2;7.72906e-005
3;2;GTDGRE2;4.79735e-005
3;2;GTDGRE2;4.6974e-005
4;2;GTDGRE2;9.49475e-005
4;2;GTDGRE2;7.66243e-005
4;2;GTDGRE2;7.56248e-005
5;2;GTDGRE2;0.000158912
5;2;GTDGRE2;0.000137257
5;2;GTDGRE2;0.000132926
7;3;GTDGRE2;0.000684621
7;3;GTDGRE2;0.000615326
7;3;GTDGRE2;0.00061366
9;3;GTDGRE2;0.00129062
9;3;GTDGRE2;0.00115003
9;3;GTDGRE2;0.00116536
12;3;GTDGRE2;0.0027045
12;3;GTDGRE2;0.00241033
12;3;GTDGRE2;0.0025226
16;4;GTDGRE2;0.00873417
16;4;GTDGRE2;0.00810718
16;4;GTDGRE2;0.00801157
21;5;GTDGRE2;0.0260902
21;5;GTDGRE2;0.0249675
21;5;GTDGRE2;0.024652
28;5;GTDGRE2;0.0578656
28;5;GTDGRE2;0.0551352
28;5;GTDGRE2;0.0550515
37;6;GTDGRE2;0.179528
37;6;GTDGRE2;0.174019
37;6;GTDGRE2;0.174578
49;7;GTDGRE2;0.569035
49;7;GTDGRE2;0.567186
49;7;GTDGRE2;0.565412
64;8;GTDGRE2;1.99405
64;8;GTDGRE2;1.97773
64;8;GTDGRE2;2.01552
84;9;GTDGRE2;7.07214
84;9;GTDGRE2;6.98089
84;9;GTDGRE2;7.00864
111;11;GTDGRE2;23.524
111;11;GTDGRE2;23.463
111;11;GTDGRE2;23.4482
147;12;GTDGRE2;74.4571
147;12;GTDGRE2;74.6576
147;12;GTDGRE2;74.7108
194;14;GTDGRE2;264.323
194;14;GTDGRE2;264.283
