a;b;Algorithm;Time
3;2;GTDRGR;7.22933e-005
3;2;GTDRGR;4.19768e-005
3;2;GTDRGR;3.7979e-005
4;2;GTDRGR;9.86121e-005
4;2;GTDRGR;8.29541e-005
4;2;GTDRGR;7.72906e-005
5;2;GTDRGR;0.000192893
5;2;GTDRGR;0.000166241
5;2;GTDRGR;0.000188562
7;3;GTDRGR;0.00624621
7;3;GTDRGR;0.00617858
7;3;GTDRGR;0.00615193
9;3;GTDRGR;0.00185231
9;3;GTDRGR;0.00173038
9;3;GTDRGR;0.00171438
12;3;GTDRGR;0.0037969
12;3;GTDRGR;0.00356336
12;3;GTDRGR;0.00357469
16;4;GTDRGR;0.0143814
16;4;GTDRGR;0.0138413
16;4;GTDRGR;0.0138144
21;5;GTDRGR;0.0331053
21;5;GTDRGR;0.0319906
21;5;GTDRGR;0.0317681
28;5;GTDRGR;0.0967781
28;5;GTDRGR;0.0941023
28;5;GTDRGR;0.0947719
37;6;GTDRGR;0.282634
37;6;GTDRGR;0.277394
37;6;GTDRGR;0.277747
49;7;GTDRGR;0.678703
49;7;GTDRGR;0.669252
49;7;GTDRGR;0.66897
64;8;GTDRGR;3.07276
64;8;GTDRGR;3.08043
64;8;GTDRGR;3.07982
84;9;GTDRGR;10.3203
84;9;GTDRGR;10.2415
84;9;GTDRGR;10.223
111;11;GTDRGR;37.0299
111;11;GTDRGR;37.0141
111;11;GTDRGR;37.1146
147;12;GTDRGR;133.947
147;12;GTDRGR;134.121
147;12;GTDRGR;134.836
