a;b;Algorithm;Time
3;2;GTLib;0.000440091
3;2;GTLib;0.00038812
3;2;GTLib;0.000372129
4;2;GTLib;0.000771576
4;2;GTLib;0.000718605
4;2;GTLib;0.000718605
5;2;GTLib;0.00200223
5;2;GTLib;0.00201456
5;2;GTLib;0.00199923
7;3;GTLib;0.00846701
7;3;GTLib;0.00845168
7;3;GTLib;0.008484
9;3;GTLib;0.0198184
9;3;GTLib;0.0198194
9;3;GTLib;0.0198428
12;3;GTLib;0.0435744
12;3;GTLib;0.043594
12;3;GTLib;0.043563
16;4;GTLib;0.137833
16;4;GTLib;0.137836
16;4;GTLib;0.138312
21;5;GTLib;0.517178
21;5;GTLib;0.516344
21;5;GTLib;0.516738
28;5;GTLib;0.964957
28;5;GTLib;0.968709
28;5;GTLib;0.96686
37;6;GTLib;2.78543
37;6;GTLib;2.78552
37;6;GTLib;2.78591
49;7;GTLib;10.2999
49;7;GTLib;10.302
49;7;GTLib;10.3156
64;8;GTLib;29.9822
64;8;GTLib;29.9645
64;8;GTLib;29.9803
84;9;GTLib;95.0829
84;9;GTLib;95.3968
84;9;GTLib;95.0584
111;11;GTLib;368.295
