a;b;Algorithm;Time
3;2;KRLMGRE2;0.000107274
3;2;KRLMGRE2;7.26265e-005
3;2;KRLMGRE2;7.42922e-005
4;2;KRLMGRE2;0.000296169
4;2;KRLMGRE2;0.000314826
4;2;KRLMGRE2;0.000295836
5;2;KRLMGRE2;0.00069195
5;2;KRLMGRE2;0.000628652
5;2;KRLMGRE2;0.000624321
7;3;KRLMGRE2;0.00431295
7;3;KRLMGRE2;0.00418369
7;3;KRLMGRE2;0.0041627
9;3;KRLMGRE2;0.0111715
9;3;KRLMGRE2;0.0110302
9;3;KRLMGRE2;0.0110146
12;3;KRLMGRE2;0.036125
12;3;KRLMGRE2;0.036178
12;3;KRLMGRE2;0.0359881
16;4;KRLMGRE2;0.0183285
16;4;KRLMGRE2;0.0177169
16;4;KRLMGRE2;0.0177312
21;5;KRLMGRE2;0.715106
21;5;KRLMGRE2;0.713083
21;5;KRLMGRE2;0.714541
28;5;KRLMGRE2;0.133296
28;5;KRLMGRE2;0.133284
28;5;KRLMGRE2;0.131342
37;6;KRLMGRE2;9.09604
37;6;KRLMGRE2;9.1664
37;6;KRLMGRE2;9.07481
49;7;KRLMGRE2;36.2616
49;7;KRLMGRE2;36.3819
49;7;KRLMGRE2;36.187
64;8;KRLMGRE2;128.861
64;8;KRLMGRE2;129.028
64;8;KRLMGRE2;128.817
