a;b;Algorithm;Time
3;2;KR Mod Dyn;0.000126597
3;2;KR Mod Dyn;0.000189562
3;2;KR Mod Dyn;9.19491e-005
4;2;KR Mod Dyn;0.000281178
4;2;KR Mod Dyn;0.000250195
4;2;KR Mod Dyn;0.000250195
5;2;KR Mod Dyn;0.000686287
5;2;KR Mod Dyn;0.000639646
5;2;KR Mod Dyn;0.000657969
7;3;KR Mod Dyn;0.00724233
7;3;KR Mod Dyn;0.00720768
7;3;KR Mod Dyn;0.00720568
9;3;KR Mod Dyn;0.019958
9;3;KR Mod Dyn;0.0196838
9;3;KR Mod Dyn;0.0196794
12;3;KR Mod Dyn;0.0651756
12;3;KR Mod Dyn;0.0656367
12;3;KR Mod Dyn;0.0653205
16;4;KR Mod Dyn;0.521943
16;4;KR Mod Dyn;0.531162
16;4;KR Mod Dyn;0.524583
21;5;KR Mod Dyn;2.73161
21;5;KR Mod Dyn;2.72478
21;5;KR Mod Dyn;2.7187
28;5;KR Mod Dyn;2.35029
28;5;KR Mod Dyn;2.35057
28;5;KR Mod Dyn;2.35787
37;6;KR Mod Dyn;15.7225
37;6;KR Mod Dyn;15.691
37;6;KR Mod Dyn;15.7606
49;7;KR Mod Dyn;337.837
49;7;KR Mod Dyn;343.054
