a;b;Algorithm;Time
3;2;KR1992MDGR;0.000126263
3;2;KR1992MDGR;9.02834e-005
3;2;KR1992MDGR;0.000372127
4;2;KR1992MDGR;0.00019889
4;2;KR1992MDGR;0.000173237
4;2;KR1992MDGR;0.000159578
5;2;KR1992MDGR;0.000395781
5;2;KR1992MDGR;0.000363466
5;2;KR1992MDGR;0.0003608
7;3;KR1992MDGR;0.00245731
7;3;KR1992MDGR;0.002403
7;3;KR1992MDGR;0.00238801
9;3;KR1992MDGR;0.00565154
9;3;KR1992MDGR;0.0054793
9;3;KR1992MDGR;0.00550495
12;3;KR1992MDGR;0.0176499
12;3;KR1992MDGR;0.0174887
12;3;KR1992MDGR;0.0173601
16;4;KR1992MDGR;0.114091
16;4;KR1992MDGR;0.111601
16;4;KR1992MDGR;0.112279
21;5;KR1992MDGR;0.584256
21;5;KR1992MDGR;0.582791
21;5;KR1992MDGR;0.584244
28;5;KR1992MDGR;1.93029
28;5;KR1992MDGR;1.94873
28;5;KR1992MDGR;1.95611
37;6;KR1992MDGR;9.43661
37;6;KR1992MDGR;9.47748
37;6;KR1992MDGR;9.4685
49;7;KR1992MDGR;49.6621
49;7;KR1992MDGR;49.167
49;7;KR1992MDGR;49.4473
64;8;KR1992MDGR;254.058
64;8;KR1992MDGR;254.701
