a;b;Algorithm;Time
3;2;KR1992M3GR;7.22933e-005
3;2;KR1992M3GR;4.76403e-005
3;2;KR1992M3GR;3.7979e-005
4;2;KR1992M3GR;0.000110605
4;2;KR1992M3GR;8.09552e-005
4;2;KR1992M3GR;7.39591e-005
5;2;KR1992M3GR;0.00016924
5;2;KR1992M3GR;0.000142921
5;2;KR1992M3GR;0.000129928
7;3;KR1992M3GR;0.000908497
7;3;KR1992M3GR;0.000827209
7;3;KR1992M3GR;0.000853861
9;3;KR1992M3GR;0.00197724
9;3;KR1992M3GR;0.00187963
9;3;KR1992M3GR;0.00185331
12;3;KR1992M3GR;0.00580445
12;3;KR1992M3GR;0.00550029
12;3;KR1992M3GR;0.00557458
16;4;KR1992M3GR;0.0368463
16;4;KR1992M3GR;0.0364425
16;4;KR1992M3GR;0.0374303
21;5;KR1992M3GR;0.183484
21;5;KR1992M3GR;0.182023
21;5;KR1992M3GR;0.178727
28;5;KR1992M3GR;0.605761
28;5;KR1992M3GR;0.60708
28;5;KR1992M3GR;0.604651
37;6;KR1992M3GR;2.91442
37;6;KR1992M3GR;2.90675
37;6;KR1992M3GR;2.91075
49;7;KR1992M3GR;14.8572
49;7;KR1992M3GR;14.6802
49;7;KR1992M3GR;14.8338
64;8;KR1992M3GR;90.4102
64;8;KR1992M3GR;89.2883
64;8;KR1992M3GR;89.8308
84;9;KR1992M3GR;403.42
