a;b;Algorithm;Time
3;2;KR1992M3RGR;7.72906e-005
3;2;KR1992M3RGR;5.49696e-005
3;2;KR1992M3RGR;4.56414e-005
4;2;KR1992M3RGR;0.000165242
4;2;KR1992M3RGR;0.000136258
4;2;KR1992M3RGR;0.000145586
5;2;KR1992M3RGR;0.000324487
5;2;KR1992M3RGR;0.000273848
5;2;KR1992M3RGR;0.000272516
7;3;KR1992M3RGR;0.000932151
7;3;KR1992M3RGR;0.000847864
7;3;KR1992M3RGR;0.000834205
9;3;KR1992M3RGR;0.00502955
9;3;KR1992M3RGR;0.00492594
9;3;KR1992M3RGR;0.00489562
12;3;KR1992M3RGR;0.0155721
12;3;KR1992M3RGR;0.0154438
12;3;KR1992M3RGR;0.0154365
16;4;KR1992M3RGR;0.0782664
16;4;KR1992M3RGR;0.0796596
16;4;KR1992M3RGR;0.0787324
21;5;KR1992M3RGR;0.366226
21;5;KR1992M3RGR;0.36579
21;5;KR1992M3RGR;0.365085
28;5;KR1992M3RGR;1.25939
28;5;KR1992M3RGR;1.25829
28;5;KR1992M3RGR;1.26247
37;6;KR1992M3RGR;5.30996
37;6;KR1992M3RGR;5.31622
37;6;KR1992M3RGR;5.31101
49;7;KR1992M3RGR;22.6521
49;7;KR1992M3RGR;22.6413
49;7;KR1992M3RGR;22.6003
64;8;KR1992M3RGR;108.067
64;8;KR1992M3RGR;108.154
64;8;KR1992M3RGR;107.746
84;9;KR1992M3RGR;455.837
