a;b;Algorithm;Time
3;2;KR1992RGR;0.00113104
3;2;KR1992RGR;0.00105975
3;2;KR1992RGR;0.00103143
4;2;KR1992RGR;0.00346708
4;2;KR1992RGR;0.00337513
4;2;KR1992RGR;0.00338546
5;2;KR1992RGR;0.00870252
5;2;KR1992RGR;0.00872584
5;2;KR1992RGR;0.00847165
7;3;KR1992RGR;0.103174
7;3;KR1992RGR;0.101989
7;3;KR1992RGR;0.102049
9;3;KR1992RGR;0.276746
9;3;KR1992RGR;0.277709
9;3;KR1992RGR;0.277763
12;3;KR1992RGR;0.965332
12;3;KR1992RGR;0.965964
12;3;KR1992RGR;0.966166
16;4;KR1992RGR;5.64882
16;4;KR1992RGR;5.66089
16;4;KR1992RGR;5.65938
21;5;KR1992RGR;150.357
21;5;KR1992RGR;206.529
21;5;KR1992RGR;161.389
