a;b;Algorithm;Time
2;4;GTDGR;6.62966e-005
2;4;GTDGR;3.69795e-005
2;4;GTDGR;3.33149e-005
2;6;GTDGR;7.42922e-005
2;6;GTDGR;4.56414e-005
2;6;GTDGR;6.69629e-005
3;8;GTDGR;0.000307497
3;8;GTDGR;0.000263854
3;8;GTDGR;0.000266186
3;11;GTDGR;0.000451084
3;11;GTDGR;0.000413438
3;11;GTDGR;0.000406442
4;16;GTDGR;0.00262088
4;16;GTDGR;0.00248929
4;16;GTDGR;0.00248562
5;23;GTDGR;0.0104506
5;23;GTDGR;0.0101127
5;23;GTDGR;0.0100518
6;32;GTDGR;0.0448842
6;32;GTDGR;0.0443675
6;32;GTDGR;0.0441542
7;45;GTDGR;0.142588
7;45;GTDGR;0.140717
7;45;GTDGR;0.141026
8;64;GTDGR;0.491451
8;64;GTDGR;0.488903
8;64;GTDGR;0.48979
10;91;GTDGR;2.68564
10;91;GTDGR;2.68163
10;91;GTDGR;2.70334
11;128;GTDGR;7.16214
11;128;GTDGR;7.19693
11;128;GTDGR;7.19198
13;181;GTDGR;61.1042
13;181;GTDGR;61.1495
13;181;GTDGR;61.1828
16;256;GTDGR;404.752
