a;b;Algorithm;Time
2;4;GTGRE2;2.2321e-005
2;4;GTGRE2;8.32872e-006
2;4;GTGRE2;7.99558e-006
2;6;GTGRE2;2.36536e-005
2;6;GTGRE2;9.99447e-006
2;6;GTGRE2;9.66132e-006
3;8;GTGRE2;4.19768e-005
3;8;GTGRE2;3.69795e-005
3;8;GTGRE2;3.86453e-005
3;11;GTGRE2;5.39701e-005
3;11;GTGRE2;5.3637e-005
3;11;GTGRE2;5.53027e-005
4;16;GTGRE2;0.000183898
4;16;GTGRE2;0.000178901
4;16;GTGRE2;0.000183898
5;23;GTGRE2;0.000486398
5;23;GTGRE2;0.000474071
5;23;GTGRE2;0.000486398
6;32;GTGRE2;0.00130328
6;32;GTGRE2;0.00128762
6;32;GTGRE2;0.00129228
7;45;GTGRE2;0.00297435
7;45;GTGRE2;0.00296636
7;45;GTGRE2;0.00296936
8;64;GTGRE2;0.00787198
8;64;GTGRE2;0.00767975
8;64;GTGRE2;0.00770274
10;91;GTGRE2;0.0272079
10;91;GTGRE2;0.0274655
10;91;GTGRE2;0.0274918
11;128;GTGRE2;0.0516348
11;128;GTGRE2;0.0520305
11;128;GTGRE2;0.0518773
13;181;GTGRE2;0.201506
13;181;GTGRE2;0.200092
13;181;GTGRE2;0.197372
16;256;GTGRE2;0.803603
16;256;GTGRE2;0.7996
16;256;GTGRE2;0.796391
19;362;GTGRE2;2.16701
19;362;GTGRE2;2.17784
19;362;GTGRE2;2.17647
23;512;GTGRE2;7.01439
23;512;GTGRE2;7.02332
23;512;GTGRE2;7.0155
27;724;GTGRE2;19.4349
27;724;GTGRE2;19.3921
27;724;GTGRE2;19.2739
32;1024;GTGRE2;57.9777
32;1024;GTGRE2;57.828
32;1024;GTGRE2;57.6232
