a;b;Algorithm;Time
2;4;GTN3GR;3.99778e-005
2;4;GTN3GR;1.36591e-005
2;4;GTN3GR;1.5658e-005
2;6;GTN3GR;1.83231e-005
2;6;GTN3GR;1.69905e-005
2;6;GTN3GR;1.46585e-005
3;8;GTN3GR;0.000114603
3;8;GTN3GR;0.000112271
3;8;GTN3GR;0.000115269
3;11;GTN3GR;0.00018623
3;11;GTN3GR;0.000185897
3;11;GTN3GR;0.000177568
4;16;GTN3GR;0.00131793
4;16;GTN3GR;0.00131827
4;16;GTN3GR;0.00131693
5;23;GTN3GR;0.00573081
5;23;GTN3GR;0.00570683
5;23;GTN3GR;0.00569217
6;32;GTN3GR;0.0303524
6;32;GTN3GR;0.0304184
6;32;GTN3GR;0.030631
7;45;GTN3GR;0.102199
7;45;GTN3GR;0.101396
7;45;GTN3GR;0.101169
8;64;GTN3GR;0.358458
8;64;GTN3GR;0.361253
8;64;GTN3GR;0.360856
10;91;GTN3GR;1.96949
10;91;GTN3GR;1.96
10;91;GTN3GR;1.96179
11;128;GTN3GR;5.61897
11;128;GTN3GR;5.61065
11;128;GTN3GR;5.60949
13;181;GTN3GR;42.8602
13;181;GTN3GR;43.2018
13;181;GTN3GR;42.789
16;256;GTN3GR;253.076
16;256;GTN3GR;253.108
