a;b;Algorithm;Time
2;4;GTN3RGR;4.16435e-005
2;4;GTN3RGR;1.73237e-005
2;4;GTN3RGR;1.49917e-005
2;6;GTN3RGR;1.39922e-005
2;6;GTN3RGR;1.16602e-005
2;6;GTN3RGR;1.26596e-005
3;8;GTN3RGR;5.89672e-005
3;8;GTN3RGR;5.6302e-005
3;8;GTN3RGR;5.83009e-005
3;11;GTN3RGR;8.62853e-005
3;11;GTN3RGR;8.995e-005
3;11;GTN3RGR;8.19544e-005
4;16;GTN3RGR;0.001195
4;16;GTN3RGR;0.00118401
4;16;GTN3RGR;0.00118501
5;23;GTN3RGR;0.000886174
5;23;GTN3RGR;0.000890171
5;23;GTN3RGR;0.000882842
6;32;GTN3RGR;0.108245
6;32;GTN3RGR;0.108004
6;32;GTN3RGR;0.108645
7;45;GTN3RGR;0.0092895
7;45;GTN3RGR;0.00922953
7;45;GTN3RGR;0.0092192
8;64;GTN3RGR;0.0234949
8;64;GTN3RGR;0.0235712
8;64;GTN3RGR;0.0234903
10;91;GTN3RGR;0.0792982
10;91;GTN3RGR;0.0792532
10;91;GTN3RGR;0.0793395
11;128;GTN3RGR;0.193732
11;128;GTN3RGR;0.181333
11;128;GTN3RGR;0.182078
13;181;GTN3RGR;0.899093
13;181;GTN3RGR;0.900531
13;181;GTN3RGR;0.89756
16;256;GTN3RGR;3.72057
16;256;GTN3RGR;3.70825
16;256;GTN3RGR;3.70839
19;362;GTN3RGR;11.432
19;362;GTN3RGR;11.4092
19;362;GTN3RGR;11.4057
23;512;GTN3RGR;35.3973
23;512;GTN3RGR;35.4784
23;512;GTN3RGR;35.3625
27;724;GTN3RGR;98.2462
27;724;GTN3RGR;98.1984
27;724;GTN3RGR;97.8779
32;1024;GTN3RGR;320.82
