a;b;Algorithm;Time
2;4;GT N3;2.76513e-005
2;4;GT N3;1.66574e-005
2;4;GT N3;2.0322e-005
2;6;GT N3;1.19933e-005
2;6;GT N3;1.29928e-005
2;6;GT N3;1.16602e-005
3;8;GT N3;0.00016191
3;8;GT N3;0.000159578
3;8;GT N3;0.00016191
3;11;GT N3;0.000225874
3;11;GT N3;0.000230538
3;11;GT N3;0.000226207
4;16;GT N3;0.00135058
4;16;GT N3;0.00134658
4;16;GT N3;0.00170772
5;23;GT N3;0.0239
5;23;GT N3;0.023878
5;23;GT N3;0.0239254
6;32;GT N3;0.111836
6;32;GT N3;0.111578
6;32;GT N3;0.111725
7;45;GT N3;0.119969
7;45;GT N3;0.119602
7;45;GT N3;0.119838
8;64;GT N3;0.285369
8;64;GT N3;0.282296
8;64;GT N3;0.282775
10;91;GT N3;6.91106
10;91;GT N3;7.01774
10;91;GT N3;6.98935
11;128;GT N3;3.45873
11;128;GT N3;3.48268
11;128;GT N3;3.48143
13;181;GT N3;155.426
13;181;GT N3;154.041
13;181;GT N3;155.205
