a;b;Algorithm;Time
2;4;KRLMGRE2;7.69574e-005
2;4;KRLMGRE2;4.23099e-005
2;4;KRLMGRE2;3.73127e-005
2;6;KRLMGRE2;5.3637e-005
2;6;KRLMGRE2;4.4642e-005
2;6;KRLMGRE2;4.36425e-005
3;8;KRLMGRE2;0.00027185
3;8;KRLMGRE2;0.000274515
3;8;KRLMGRE2;0.000232205
3;11;KRLMGRE2;0.000375459
3;11;KRLMGRE2;0.000330484
3;11;KRLMGRE2;0.000330151
4;16;KRLMGRE2;0.00153882
4;16;KRLMGRE2;0.0013849
4;16;KRLMGRE2;0.00142521
5;23;KRLMGRE2;0.00465343
5;23;KRLMGRE2;0.00433493
5;23;KRLMGRE2;0.00432927
6;32;KRLMGRE2;0.0146526
6;32;KRLMGRE2;0.0141802
6;32;KRLMGRE2;0.0141032
7;45;KRLMGRE2;0.0376448
7;45;KRLMGRE2;0.0369872
7;45;KRLMGRE2;0.0364245
8;64;KRLMGRE2;0.0911852
8;64;KRLMGRE2;0.088634
8;64;KRLMGRE2;0.0889638
10;91;KRLMGRE2;0.362745
10;91;KRLMGRE2;0.359186
10;91;KRLMGRE2;0.38752
11;128;KRLMGRE2;1.04447
11;128;KRLMGRE2;1.02714
11;128;KRLMGRE2;1.02831
13;181;KRLMGRE2;3.48993
13;181;KRLMGRE2;3.45737
13;181;KRLMGRE2;3.47337
16;256;KRLMGRE2;15.224
16;256;KRLMGRE2;15.1265
16;256;KRLMGRE2;15.1274
19;362;KRLMGRE2;48.7696
19;362;KRLMGRE2;48.5839
19;362;KRLMGRE2;48.5669
23;512;KRLMGRE2;179.298
23;512;KRLMGRE2;178.986
23;512;KRLMGRE2;178.679
