a;b;Algorithm;Time
2;4;KR Mod;6.09663e-005
2;4;KR Mod;4.26431e-005
2;4;KR Mod;3.76458e-005
2;6;KR Mod;5.56359e-005
2;6;KR Mod;4.83066e-005
2;6;KR Mod;4.53083e-005
3;8;KR Mod;0.000415437
3;8;KR Mod;0.000385787
3;8;KR Mod;0.000380789
3;11;KR Mod;0.00061999
3;11;KR Mod;0.000586675
3;11;KR Mod;0.00057768
4;16;KR Mod;0.00336047
4;16;KR Mod;0.0032462
4;16;KR Mod;0.00326586
5;23;KR Mod;0.0785522
5;23;KR Mod;0.078374
5;23;KR Mod;0.0778689
6;32;KR Mod;0.381992
6;32;KR Mod;0.388267
6;32;KR Mod;0.386954
7;45;KR Mod;0.395272
7;45;KR Mod;0.394949
7;45;KR Mod;0.395123
8;64;KR Mod;0.973851
8;64;KR Mod;0.966948
8;64;KR Mod;0.96864
10;91;KR Mod;23.6664
10;91;KR Mod;23.9135
10;91;KR Mod;23.7611
11;128;KR Mod;13.6692
11;128;KR Mod;13.6596
11;128;KR Mod;13.6683
13;181;KR Mod;706.625
