a;b;Algorithm;Time
2;4;KR1992MDGR;0.000102277
2;4;KR1992MDGR;7.49585e-005
2;4;KR1992MDGR;7.22933e-005
2;6;KR1992MDGR;0.000108607
2;6;KR1992MDGR;9.76127e-005
2;6;KR1992MDGR;8.99502e-005
3;8;KR1992MDGR;0.000705943
3;8;KR1992MDGR;0.000676292
3;8;KR1992MDGR;0.000675293
3;11;KR1992MDGR;0.000989119
3;11;KR1992MDGR;0.00095747
3;11;KR1992MDGR;0.000934816
4;16;KR1992MDGR;0.00582778
4;16;KR1992MDGR;0.00569785
4;16;KR1992MDGR;0.00573349
5;23;KR1992MDGR;0.0235157
5;23;KR1992MDGR;0.0231002
5;23;KR1992MDGR;0.0231225
6;32;KR1992MDGR;0.100779
6;32;KR1992MDGR;0.100106
6;32;KR1992MDGR;0.100362
7;45;KR1992MDGR;0.329576
7;45;KR1992MDGR;0.328218
7;45;KR1992MDGR;0.327905
8;64;KR1992MDGR;1.14073
8;64;KR1992MDGR;1.13905
8;64;KR1992MDGR;1.13763
10;91;KR1992MDGR;5.93651
10;91;KR1992MDGR;5.93041
10;91;KR1992MDGR;5.92655
11;128;KR1992MDGR;17.5351
11;128;KR1992MDGR;17.7979
11;128;KR1992MDGR;17.7469
13;181;KR1992MDGR;93.3014
13;181;KR1992MDGR;93.4234
13;181;KR1992MDGR;93.4013
16;256;KR1992MDGR;445.799
