a;b;Algorithm;Time
2;4;KR1992MDRGR;0.000118601
2;4;KR1992MDRGR;6.79624e-005
2;4;KR1992MDRGR;7.42922e-005
2;6;KR1992MDRGR;9.62801e-005
2;6;KR1992MDRGR;9.02834e-005
2;6;KR1992MDRGR;8.92839e-005
3;8;KR1992MDRGR;0.000832206
3;8;KR1992MDRGR;0.000791895
3;8;KR1992MDRGR;0.000787231
3;11;KR1992MDRGR;0.00116136
3;11;KR1992MDRGR;0.00109773
3;11;KR1992MDRGR;0.00109273
4;16;KR1992MDRGR;0.00730363
4;16;KR1992MDRGR;0.00706143
4;16;KR1992MDRGR;0.00713539
5;23;KR1992MDRGR;0.0278496
5;23;KR1992MDRGR;0.0274208
5;23;KR1992MDRGR;0.0274925
6;32;KR1992MDRGR;0.111489
6;32;KR1992MDRGR;0.11113
6;32;KR1992MDRGR;0.111363
7;45;KR1992MDRGR;0.376706
7;45;KR1992MDRGR;0.375746
7;45;KR1992MDRGR;0.3759
8;64;KR1992MDRGR;1.21838
8;64;KR1992MDRGR;1.22204
8;64;KR1992MDRGR;1.22395
10;91;KR1992MDRGR;5.65768
10;91;KR1992MDRGR;5.65059
10;91;KR1992MDRGR;5.64636
11;128;KR1992MDRGR;17.6003
11;128;KR1992MDRGR;17.5595
11;128;KR1992MDRGR;17.5691
13;181;KR1992MDRGR;83.7477
13;181;KR1992MDRGR;83.8399
13;181;KR1992MDRGR;83.7906
16;256;KR1992MDRGR;387.532
