a;b;Algorithm;Time
2;4;KR1992M3GR;6.69629e-005
2;4;KR1992M3GR;4.13105e-005
2;4;KR1992M3GR;3.63132e-005
2;6;KR1992M3GR;5.19712e-005
2;6;KR1992M3GR;4.56414e-005
2;6;KR1992M3GR;4.96392e-005
3;8;KR1992M3GR;0.000283177
3;8;KR1992M3GR;0.000242532
3;8;KR1992M3GR;0.000241866
3;11;KR1992M3GR;0.000402444
3;11;KR1992M3GR;0.000365798
3;11;KR1992M3GR;0.0003618
4;16;KR1992M3GR;0.00194826
4;16;KR1992M3GR;0.00184298
4;16;KR1992M3GR;0.00187863
5;23;KR1992M3GR;0.00795227
5;23;KR1992M3GR;0.00759979
5;23;KR1992M3GR;0.00747653
6;32;KR1992M3GR;0.0324757
6;32;KR1992M3GR;0.0320966
6;32;KR1992M3GR;0.0319836
7;45;KR1992M3GR;0.100696
7;45;KR1992M3GR;0.099371
7;45;KR1992M3GR;0.099334
8;64;KR1992M3GR;0.330832
8;64;KR1992M3GR;0.331727
8;64;KR1992M3GR;0.331155
10;91;KR1992M3GR;1.77185
10;91;KR1992M3GR;1.76883
10;91;KR1992M3GR;1.77944
11;128;KR1992M3GR;5.42415
11;128;KR1992M3GR;5.39423
11;128;KR1992M3GR;5.44646
13;181;KR1992M3GR;39.0332
13;181;KR1992M3GR;38.6917
13;181;KR1992M3GR;38.7333
16;256;KR1992M3GR;198.386
16;256;KR1992M3GR;197.167
16;256;KR1992M3GR;197.703
