a;b;Algorithm;Time
2;4;KR1992M3RGR;7.56248e-005
2;4;KR1992M3RGR;4.76403e-005
2;4;KR1992M3RGR;4.26431e-005
2;6;KR1992M3RGR;5.89674e-005
2;6;KR1992M3RGR;5.23044e-005
2;6;KR1992M3RGR;4.83066e-005
3;8;KR1992M3RGR;0.000354804
3;8;KR1992M3RGR;0.000303832
3;8;KR1992M3RGR;0.000308163
3;11;KR1992M3RGR;0.000695615
3;11;KR1992M3RGR;0.000659635
3;11;KR1992M3RGR;0.000659635
4;16;KR1992M3RGR;0.00249562
4;16;KR1992M3RGR;0.00237369
4;16;KR1992M3RGR;0.0023487
5;23;KR1992M3RGR;0.0101484
5;23;KR1992M3RGR;0.00980124
5;23;KR1992M3RGR;0.0113864
6;32;KR1992M3RGR;0.0344246
6;32;KR1992M3RGR;0.0338753
6;32;KR1992M3RGR;0.0338509
7;45;KR1992M3RGR;0.107358
7;45;KR1992M3RGR;0.105977
7;45;KR1992M3RGR;0.105805
8;64;KR1992M3RGR;0.331928
8;64;KR1992M3RGR;0.330807
8;64;KR1992M3RGR;0.331113
10;91;KR1992M3RGR;1.44066
10;91;KR1992M3RGR;1.43875
10;91;KR1992M3RGR;1.4394
11;128;KR1992M3RGR;4.76005
11;128;KR1992M3RGR;4.78524
11;128;KR1992M3RGR;4.70847
13;181;KR1992M3RGR;27.7043
13;181;KR1992M3RGR;27.5334
13;181;KR1992M3RGR;27.5668
16;256;KR1992M3RGR;120.29
16;256;KR1992M3RGR;119.523
16;256;KR1992M3RGR;119.519
