a;b;Algorithm;Time
2;4;KR1992RGR;0.00148051
2;4;KR1992RGR;0.00137491
2;4;KR1992RGR;0.00133993
2;6;KR1992RGR;0.00280745
2;6;KR1992RGR;0.0027065
2;6;KR1992RGR;0.00248596
3;8;KR1992RGR;0.0321689
3;8;KR1992RGR;0.0307743
3;8;KR1992RGR;0.0183862
3;11;KR1992RGR;0.0372217
3;11;KR1992RGR;0.036828
3;11;KR1992RGR;0.0373144
4;16;KR1992RGR;0.257584
4;16;KR1992RGR;0.258673
4;16;KR1992RGR;0.25829
5;23;KR1992RGR;1.77098
5;23;KR1992RGR;1.77558
5;23;KR1992RGR;1.7745
6;32;KR1992RGR;6.70707
6;32;KR1992RGR;6.72881
6;32;KR1992RGR;6.73033
7;45;KR1992RGR;186.326
7;45;KR1992RGR;222.669
7;45;KR1992RGR;191.428
