a;b;Algorithm;Time
3;3;GTDGR;8.19547e-005
3;3;GTDGR;7.42922e-005
3;3;GTDGR;8.7285e-005
3;3;GTDGR;7.52917e-005
3;3;GTDGR;6.79624e-005
3;3;GTDGR;6.52972e-005
4;4;GTDGR;0.000309829
4;4;GTDGR;0.000315159
4;4;GTDGR;0.000305164
5;5;GTDGR;0.000721934
5;5;GTDGR;0.000715271
5;5;GTDGR;0.000712939
6;6;GTDGR;0.00247063
6;6;GTDGR;0.00246797
6;6;GTDGR;0.00246264
8;8;GTDGR;0.0112834
8;8;GTDGR;0.0113141
8;8;GTDGR;0.0113007
10;10;GTDGR;0.0472379
10;10;GTDGR;0.0471036
10;10;GTDGR;0.0473741
13;13;GTDGR;0.217255
13;13;GTDGR;0.217441
13;13;GTDGR;0.221206
16;16;GTDGR;0.750586
16;16;GTDGR;0.747848
16;16;GTDGR;0.747459
20;20;GTDGR;2.99255
20;20;GTDGR;2.99623
20;20;GTDGR;3.01345
25;25;GTDGR;14.7683
25;25;GTDGR;14.6866
25;25;GTDGR;14.7948
32;32;GTDGR;104.116
32;32;GTDGR;104.113
32;32;GTDGR;105.049
40;40;GTDGR;434.161
40;40;GTDGR;434.277
40;40;GTDGR;434.223
