a;b;Algorithm;Time
3;3;KR1992MDGR;0.000185564
3;3;KR1992MDGR;0.000130928
3;3;KR1992MDGR;0.000144254
3;3;KR1992MDGR;0.000150916
3;3;KR1992MDGR;0.000137591
3;3;KR1992MDGR;0.000145253
4;4;KR1992MDGR;0.000618325
4;4;KR1992MDGR;0.000553027
4;4;KR1992MDGR;0.000547031
5;5;KR1992MDGR;0.0016784
5;5;KR1992MDGR;0.00158512
5;5;KR1992MDGR;0.0015708
6;6;KR1992MDGR;0.00580945
6;6;KR1992MDGR;0.00577814
6;6;KR1992MDGR;0.00573549
8;8;KR1992MDGR;0.025861
8;8;KR1992MDGR;0.026472
8;8;KR1992MDGR;0.0264793
10;10;KR1992MDGR;0.100501
10;10;KR1992MDGR;0.101445
10;10;KR1992MDGR;0.101846
13;13;KR1992MDGR;0.486051
13;13;KR1992MDGR;0.475487
13;13;KR1992MDGR;0.489684
16;16;KR1992MDGR;1.67688
16;16;KR1992MDGR;1.69612
16;16;KR1992MDGR;1.71832
20;20;KR1992MDGR;6.90346
20;20;KR1992MDGR;6.8508
20;20;KR1992MDGR;6.94669
25;25;KR1992MDGR;33.0887
25;25;KR1992MDGR;32.1012
25;25;KR1992MDGR;32.4691
32;32;KR1992MDGR;184.459
