a;b;Algorithm;Time
3;3;KR1992M3GR;0.001211
3;3;KR1992M3GR;6.22989e-005
3;3;KR1992M3GR;8.29541e-005
3;3;KR1992M3GR;8.7285e-005
3;3;KR1992M3GR;6.69629e-005
3;3;KR1992M3GR;6.79624e-005
4;4;KR1992M3GR;0.000273182
4;4;KR1992M3GR;0.000224209
4;4;KR1992M3GR;0.000235869
5;5;KR1992M3GR;0.000705276
5;5;KR1992M3GR;0.000609663
5;5;KR1992M3GR;0.000635981
6;6;KR1992M3GR;0.00203521
6;6;KR1992M3GR;0.00188796
6;6;KR1992M3GR;0.00192027
8;8;KR1992M3GR;0.0085616
8;8;KR1992M3GR;0.00853461
8;8;KR1992M3GR;0.00820879
10;10;KR1992M3GR;0.0339059
10;10;KR1992M3GR;0.0329381
10;10;KR1992M3GR;0.0339949
13;13;KR1992M3GR;0.142779
13;13;KR1992M3GR;0.146748
13;13;KR1992M3GR;0.146151
16;16;KR1992M3GR;0.490984
16;16;KR1992M3GR;0.499697
16;16;KR1992M3GR;0.486628
20;20;KR1992M3GR;1.89612
20;20;KR1992M3GR;1.94353
20;20;KR1992M3GR;1.85856
25;25;KR1992M3GR;9.23332
25;25;KR1992M3GR;9.1257
25;25;KR1992M3GR;9.28213
32;32;KR1992M3GR;68.1098
32;32;KR1992M3GR;67.2527
32;32;KR1992M3GR;66.97
40;40;KR1992M3GR;278.138
40;40;KR1992M3GR;275.958
40;40;KR1992M3GR;277.238
51;51;KR1992M3GR;1198.11
51;51;KR1992M3GR;1194.51
