a;b;Algorithm;Time
3;2;Dinic;0
3;2;Dinic;0
3;2;Dinic;0
4;2;Dinic;0
4;2;Dinic;0
4;2;Dinic;0
5;2;Dinic;0
5;2;Dinic;0.001
5;2;Dinic;0
7;3;Dinic;0.001
7;3;Dinic;0.001
7;3;Dinic;0
9;3;Dinic;0.001
9;3;Dinic;0.001
9;3;Dinic;0.001
12;3;Dinic;0.003
12;3;Dinic;0.002
12;3;Dinic;0.002
16;4;Dinic;0.013
16;4;Dinic;0.013
16;4;Dinic;0.013
21;5;Dinic;0.047
21;5;Dinic;0.047
21;5;Dinic;0.047
28;5;Dinic;0.16
28;5;Dinic;0.162
28;5;Dinic;0.163
37;6;Dinic;0.664
37;6;Dinic;0.66
37;6;Dinic;0.659
49;7;Dinic;2.792
49;7;Dinic;2.739
49;7;Dinic;2.751
64;8;Dinic;10.158
64;8;Dinic;10.061
64;8;Dinic;10.026
84;9;Dinic;41.194
84;9;Dinic;41.161
84;9;Dinic;41.378
111;11;Dinic;215.983
111;11;Dinic;211.731
111;11;Dinic;209.183
